Company,TypeName,Ram,Weight,Price,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand,os
Apple,Ultrabook,8,1.37,71378.6832,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,47895.5232,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,30636.0,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,135195.33599999998,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,96095.808,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,21312.0,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,114017.6016,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,61735.53599999999,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,79653.59999999999,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,41025.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,20986.992000000002,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others/No OS/Linux
HP,Notebook,4,1.86,18381.0672,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,16,1.83,130001.6016,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,26581.392,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,67260.672,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,80908.344,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,39693.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,152274.24,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,26586.72,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Dell,Ultrabook,8,1.22,52161.12,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,10224.431999999999,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,53226.72,0,1,141.21199808219862,Intel Core i5,0,128,Nvidia,Windows
HP,Notebook,4,1.86,13746.24,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,43636.32,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,35111.52,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,22305.1392,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,58554.72,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,42624.0,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,69157.44,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.5,47738.88,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,13053.0672,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,10602.72,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,23389.92,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,99580.32,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,53173.44,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,13266.72,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,19553.76,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.8,52161.12,0,1,127.33567457123111,Intel Core i5,0,128,AMD,Windows
HP,Notebook,4,1.86,26037.4032,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,20725.92,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,16,2.65,79866.72,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,8,2.3,27864.9072,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,4,2.2,36336.96,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,53226.72,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,75604.31999999999,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,19660.32,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,8,3.2,69210.72,0,0,127.33567457123111,AMD Processor,0,256,AMD,Windows
Dell,Notebook,4,2.3,34045.92,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,24828.48,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,16996.32,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,2.2,44808.48,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,21231.5472,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,58767.84,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,20459.52,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,40908.384,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,23389.92,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,31232.203200000004,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,130482.72,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,22111.2,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,16,2.8,69210.72,0,0,127.33567457123111,Intel Core i7,0,256,AMD,Windows
Dell,Ultrabook,8,1.7,46833.12,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,31914.72,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,8,1.4,50136.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,36763.2,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,105654.24,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,23373.4032,0,0,100.45466986113651,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,12201.12,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,29250.72,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,50562.72,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,1.252,58021.92,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,50882.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,46353.6,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,58341.6,0,0,127.33567457123111,Intel Core i5,0,128,Nvidia,Windows
Acer,Notebook,8,2.1,20725.92,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,50562.72,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,27652.32,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.02,45554.4,0,0,141.21199808219862,Intel Core i7,0,128,Intel,Windows
Acer,Notebook,4,2.2,28238.4,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,52054.56,0,0,127.33567457123111,Intel Core i5,0,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,58403.4048,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,80452.8,0,1,226.41554716935852,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,45820.8,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,21258.72,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,21045.6,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,71874.72,0,1,141.21199808219862,Intel Core i7,0,128,Nvidia,Windows
HP,Ultrabook,8,1.83,37242.72,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,31914.1872,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,77202.72,0,1,141.21199808219862,Intel Core i7,0,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,87858.72,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,37242.72,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,36709.92,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,63776.16,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,63669.6,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,55890.72,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,45128.16,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,31962.672000000002,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others/No OS/Linux
